segment_id,row_index,row_label,section,anchor_mark_visible,color,thickness,code,legend_description,source_kind,pixel_x_start,pixel_x_end_exclusive,pixel_y_center,pixel_width,pixel_height_estimate,year_start,year_end,duration_years,note,base_year,end_year_exclusive,start_abs_day,end_abs_day,start_year,start_day_of_year,start_day_label,end_year,end_day_of_year,end_day_label,duration_days
1,1,GOES 16 GEOS Rad.,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1450,1482,59,32,13,2018.567388,2019.685524,1.118136,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,14808,15216,2018,208,2018-D208,2019,251,2019-D251,409
2,2,GOES 15 GEOS Rad.,Geostationary radiances,False,green,thick,green_thick,used in ERA5 but not in ERA-Interim,visible_color_bar,1271,1377,78,106,13,2012.312812,2016.016639,3.703827,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,12525,13877,2012,115,2012-D115,2016,7,2016-D007,1353
3,2,GOES 15 GEOS Rad.,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1378,1480,78,102,13,2016.051581,2019.615641,3.56406,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,13889,15190,2016,19,2016-D019,2019,225,2019-D225,1302
4,4,GOES 13 GEOS Rad.,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1214,1283,117,69,13,2010.321131,2012.732113,2.410982,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,11798,12678,2010,118,2010-D118,2012,268,2012-D268,881
5,4,GOES 13 GEOS Rad.,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1286,1433,117,147,13,2012.836938,2017.973378,5.136439,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,12716,14591,2012,306,2012-D306,2017,356,2017-D356,1876
6,5,GOES 12 GEOS Rad.,Geostationary radiances,False,red,thick,red_thick,assimilated in ERA-Interim but not in ERA5,visible_color_bar,1203,1213,136,10,13,2009.936772,2010.28619,0.349418,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,11657,11785,2009,342,2009-D342,2010,105,2010-D105,129
7,5,GOES 12 GEOS Rad.,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1012,1175,136,163,13,2003.262895,2008.958403,5.695507,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,9221,11300,2003,96,2003-D096,2008,350,2008-D350,2080
8,5,GOES 12 GEOS Rad.,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1178,1203,136,25,13,2009.063228,2009.936772,0.873544,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,11339,11657,2009,24,2009-D024,2009,342,2009-D342,319
9,6,GOES 11 GEOS Rad.,Geostationary radiances,False,red,thick,red_thick,assimilated in ERA-Interim but not in ERA5,visible_color_bar,1152,1157,155,5,13,2008.154742,2008.329451,0.174709,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,11007,11071,2008,57,2008-D057,2008,121,2008-D121,65
10,6,GOES 11 GEOS Rad.,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1113,1151,155,38,13,2006.792013,2008.1198,1.327787,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,10510,10994,2006,290,2006-D290,2008,44,2008-D044,485
11,6,GOES 11 GEOS Rad.,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1167,1260,155,93,13,2008.678869,2011.928453,3.249584,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,11198,12384,2008,248,2008-D248,2011,339,2011-D339,1187
