Match_Key,Sensor_Sat,Sensor,Satellite,Section,NNJA_Source_Labels,ERA_Source_Labels,Both_Days,NNJA_Only_Days,ERA5_Only_Days,ERA_Interim_Only_Days,Total_Active_Days
AHI|HIMAWARI 8,AHI (HIMAWARI 8),AHI,HIMAWARI 8,Geostationary radiances,,Himawari 8 GEOS Rad.,0,0,1366,0,1366
GEOS|GOES 10,GEOS (GOES 10),GEOS,GOES 10,Geostationary radiances,,GOES 10 GEOS Rad.,0,0,1710,0,1710
GEOS|GOES 11,GEOS (GOES 11),GEOS,GOES 11,Geostationary radiances,,GOES 11 GEOS Rad.,0,0,1672,65,1737
GEOS|GOES 12,GEOS (GOES 12),GEOS,GOES 12,Geostationary radiances,,GOES 12 GEOS Rad.,0,0,2399,128,2527
GEOS|GOES 13,GEOS (GOES 13),GEOS,GOES 13,Geostationary radiances,,GOES 13 GEOS Rad.,0,0,2757,0,2757
GEOS|GOES 15,GEOS (GOES 15),GEOS,GOES 15,Geostationary radiances,,GOES 15 GEOS Rad.,0,0,2655,0,2655
GEOS|GOES 16,GEOS (GOES 16),GEOS,GOES 16,Geostationary radiances,,GOES 16 GEOS Rad.,0,0,409,0,409
GEOS|GOES 8,GEOS (GOES 8),GEOS,GOES 8,Geostationary radiances,,GOES 8 GEOS Rad.,0,0,523,0,523
GEOS|GOES 9,GEOS (GOES 9),GEOS,GOES 9,Geostationary radiances,,GOES 9 GEOS Rad.,0,0,932,0,932
GEOS|METEOSAT 5,GEOS (METEOSAT 5),GEOS,METEOSAT 5,Geostationary radiances,,METEOSAT 5 GEOS Rad.,0,0,1241,0,1241
GEOS|METEOSAT 7,GEOS (METEOSAT 7),GEOS,METEOSAT 7,Geostationary radiances,,METEOSAT 7 GEOS Rad.,0,0,4824,0,4824
IMAGER|MTSAT-1R,IMAGER (MTSAT-1R),IMAGER,MTSAT-1R,Geostationary radiances,,MTSAT-1R GEOS Rad.,0,0,1138,79,1217
IMAGER|MTSAT-2,IMAGER (MTSAT-2),IMAGER,MTSAT-2,Geostationary radiances,,MTSAT-2 GEOS Rad.,0,0,1561,0,1561
SEVIRI|METEOSAT 10,SEVIRI (METEOSAT 10),SEVIRI,METEOSAT 10,Geostationary radiances,seviri METEOSAT 10,METEOSAT 10 GEOS Rad. Allsky,1826,193,0,0,2019
SEVIRI|METEOSAT 11,SEVIRI (METEOSAT 11),SEVIRI,METEOSAT 11,Geostationary radiances,seviri METEOSAT 11,METEOSAT 11 GEOS Rad. Allsky,519,114,43,0,676
SEVIRI|METEOSAT 8,SEVIRI (METEOSAT 8),SEVIRI,METEOSAT 8,Geostationary radiances,seviri METEOSAT 8,METEOSAT 8 GEOS Rad. Allsky,920,181,1048,0,2149
