Comparison_Segment_ID,Sensor_Sat,Sensor,Satellite,Section,Match_Key,Start_Date,End_Date,Start_Day_Label,End_Day_Label,Start_Abs_Day_365,End_Abs_Day_365,Duration_Days,Status,Comparison_Status,NNJA_Active,ERA5_DA_Active,ERA_Interim_Only_Active,NNJA_Codes,ERA5_Codes,ERA_Interim_Only_Codes,ERA_Visible_Colors,NNJA_Source_Kinds,NNJA_Segment_IDs,ERA5_Segment_IDs,ERA_Interim_Only_Segment_IDs,NNJA_Source_Labels,ERA_Source_Labels,Calendar,Precision_Note
1,AHI (HIMAWARI 8),AHI,HIMAWARI 8,Geostationary radiances,AHI|HIMAWARI 8,2015-12-12,2019-09-08,2015-D346,2019-D251,13851,15216,1366,ERA5 Only,ERA5 Only,False,True,False,,grey_thick,,grey,,,35,,,Himawari 8 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
2,GEOS (GOES 10),GEOS,GOES 10,Geostationary radiances,GEOS|GOES 10,2001-10-31,2006-07-07,2001-D304,2006-D188,8699,10408,1710,ERA5 Only,ERA5 Only,False,True,False,,grey_thick,,grey,,,12,,,GOES 10 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
3,GEOS (GOES 11),GEOS,GOES 11,Geostationary radiances,GEOS|GOES 11,2006-10-17,2008-02-13,2006-D290,2008-D044,10510,10994,485,ERA5 Only,ERA5 Only,False,True,False,,grey_thick,,grey,,,10,,,GOES 11 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
4,GEOS (GOES 11),GEOS,GOES 11,Geostationary radiances,GEOS|GOES 11,2008-02-26,2008-05-01,2008-D057,2008-D121,11007,11071,65,ERA-Interim Only (not ERA5),ERA-Interim Only,False,False,True,,,red_thick,red,,,,9,,GOES 11 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
5,GEOS (GOES 11),GEOS,GOES 11,Geostationary radiances,GEOS|GOES 11,2008-09-05,2011-12-05,2008-D248,2011-D339,11198,12384,1187,ERA5 Only,ERA5 Only,False,True,False,,grey_thick,,grey,,,11,,,GOES 11 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
6,GEOS (GOES 12),GEOS,GOES 12,Geostationary radiances,GEOS|GOES 12,2003-04-06,2008-12-16,2003-D096,2008-D350,9221,11300,2080,ERA5 Only,ERA5 Only,False,True,False,,grey_thick,,grey,,,7,,,GOES 12 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
7,GEOS (GOES 12),GEOS,GOES 12,Geostationary radiances,GEOS|GOES 12,2009-01-24,2009-12-07,2009-D024,2009-D341,11339,11656,318,ERA5 Only,ERA5 Only,False,True,False,,grey_thick,,grey,,,8,,,GOES 12 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
8,GEOS (GOES 12),GEOS,GOES 12,Geostationary radiances,GEOS|GOES 12,2009-12-08,2009-12-08,2009-D342,2009-D342,11657,11657,1,ERA5 Only,ERA5 Only,False,True,True,,grey_thick,red_thick,grey; red,,,8,6,,GOES 12 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
9,GEOS (GOES 12),GEOS,GOES 12,Geostationary radiances,GEOS|GOES 12,2009-12-09,2010-04-15,2009-D343,2010-D105,11658,11785,128,ERA-Interim Only (not ERA5),ERA-Interim Only,False,False,True,,,red_thick,red,,,,6,,GOES 12 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
10,GEOS (GOES 13),GEOS,GOES 13,Geostationary radiances,GEOS|GOES 13,2010-04-28,2012-09-25,2010-D118,2012-D268,11798,12678,881,ERA5 Only,ERA5 Only,False,True,False,,grey_thick,,grey,,,4,,,GOES 13 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
11,GEOS (GOES 13),GEOS,GOES 13,Geostationary radiances,GEOS|GOES 13,2012-11-02,2017-12-22,2012-D306,2017-D356,12716,14591,1876,ERA5 Only,ERA5 Only,False,True,False,,grey_thick,,grey,,,5,,,GOES 13 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
12,GEOS (GOES 15),GEOS,GOES 15,Geostationary radiances,GEOS|GOES 15,2012-04-25,2016-01-07,2012-D115,2016-D007,12525,13877,1353,ERA5 Only,ERA5 Only,False,True,False,,green_thick,,green,,,2,,,GOES 15 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
13,GEOS (GOES 15),GEOS,GOES 15,Geostationary radiances,GEOS|GOES 15,2016-01-19,2019-08-13,2016-D019,2019-D225,13889,15190,1302,ERA5 Only,ERA5 Only,False,True,False,,grey_thick,,grey,,,3,,,GOES 15 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
14,GEOS (GOES 16),GEOS,GOES 16,Geostationary radiances,GEOS|GOES 16,2018-07-27,2019-09-08,2018-D208,2019-D251,14808,15216,409,ERA5 Only,ERA5 Only,False,True,False,,grey_thick,,grey,,,1,,,GOES 16 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
15,GEOS (GOES 8),GEOS,GOES 8,Geostationary radiances,GEOS|GOES 8,2001-10-31,2003-04-06,2001-D304,2003-D096,8699,9221,523,ERA5 Only,ERA5 Only,False,True,False,,grey_thick,,grey,,,16,,,GOES 8 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
16,GEOS (GOES 9),GEOS,GOES 9,Geostationary radiances,GEOS|GOES 9,2003-05-15,2003-07-29,2003-D135,2003-D210,9260,9335,76,ERA5 Only,ERA5 Only,False,True,False,,grey_thick,,grey,,,14,,,GOES 9 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
17,GEOS (GOES 9),GEOS,GOES 9,Geostationary radiances,GEOS|GOES 9,2003-07-30,2003-07-30,2003-D211,2003-D211,9336,9336,1,ERA5 Only,ERA5 Only,False,True,False,,green_thick; grey_thick,,green; grey,,,13; 14,,,GOES 9 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
18,GEOS (GOES 9),GEOS,GOES 9,Geostationary radiances,GEOS|GOES 9,2003-07-31,2003-10-27,2003-D212,2003-D300,9337,9425,89,ERA5 Only,ERA5 Only,False,True,False,,green_thick,,green,,,13,,,GOES 9 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
19,GEOS (GOES 9),GEOS,GOES 9,Geostationary radiances,GEOS|GOES 9,2003-10-28,2003-11-09,2003-D301,2003-D313,9426,9438,13,ERA5 Only,ERA5 Only,False,True,False,,green_thick; grey_thick,,green; grey,,,13; 15,,,GOES 9 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
20,GEOS (GOES 9),GEOS,GOES 9,Geostationary radiances,GEOS|GOES 9,2003-11-10,2005-12-02,2003-D314,2005-D336,9439,10191,753,ERA5 Only,ERA5 Only,False,True,False,,grey_thick,,grey,,,15,,,GOES 9 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
21,GEOS (METEOSAT 5),GEOS,METEOSAT 5,Geostationary radiances,GEOS|METEOSAT 5,2003-04-19,2003-09-07,2003-D109,2003-D250,9234,9375,142,ERA5 Only,ERA5 Only,False,True,False,,green_thick,,green,,,30,,,METEOSAT 5 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
22,GEOS (METEOSAT 5),GEOS,METEOSAT 5,Geostationary radiances,GEOS|METEOSAT 5,2003-10-28,2003-12-05,2003-D301,2003-D339,9426,9464,39,ERA5 Only,ERA5 Only,False,True,False,,green_thick,,green,,,31,,,METEOSAT 5 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
23,GEOS (METEOSAT 5),GEOS,METEOSAT 5,Geostationary radiances,GEOS|METEOSAT 5,2004-01-12,2004-01-25,2004-D012,2004-D025,9502,9515,14,ERA5 Only,ERA5 Only,False,True,False,,green_thick,,green,,,32,,,METEOSAT 5 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
24,GEOS (METEOSAT 5),GEOS,METEOSAT 5,Geostationary radiances,GEOS|METEOSAT 5,2004-03-30,2006-06-23,2004-D089,2006-D174,9579,10394,816,ERA5 Only,ERA5 Only,False,True,False,,green_thick,,green,,,33,,,METEOSAT 5 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
25,GEOS (METEOSAT 5),GEOS,METEOSAT 5,Geostationary radiances,GEOS|METEOSAT 5,2006-06-24,2006-06-24,2006-D175,2006-D175,10395,10395,1,ERA5 Only,ERA5 Only,False,True,False,,green_thick; grey_thick,,green; grey,,,33; 34,,,METEOSAT 5 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
26,GEOS (METEOSAT 5),GEOS,METEOSAT 5,Geostationary radiances,GEOS|METEOSAT 5,2006-06-25,2007-02-08,2006-D176,2007-D039,10396,10624,229,ERA5 Only,ERA5 Only,False,True,False,,grey_thick,,grey,,,34,,,METEOSAT 5 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
27,GEOS (METEOSAT 7),GEOS,METEOSAT 7,Geostationary radiances,GEOS|METEOSAT 7,2001-05-05,2004-05-20,2001-D125,2004-D140,8520,9630,1111,ERA5 Only,ERA5 Only,False,True,False,,green_thick,,green,,,26,,,METEOSAT 7 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
28,GEOS (METEOSAT 7),GEOS,METEOSAT 7,Geostationary radiances,GEOS|METEOSAT 7,2005-01-17,2005-02-24,2005-D017,2005-D055,9872,9910,39,ERA5 Only,ERA5 Only,False,True,False,,green_thick,,green,,,27,,,METEOSAT 7 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
29,GEOS (METEOSAT 7),GEOS,METEOSAT 7,Geostationary radiances,GEOS|METEOSAT 7,2007-02-08,2013-04-29,2007-D039,2013-D119,10624,12894,2271,ERA5 Only,ERA5 Only,False,True,False,,grey_thick,,grey,,,29,,,METEOSAT 7 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
30,GEOS (METEOSAT 7),GEOS,METEOSAT 7,Geostationary radiances,GEOS|METEOSAT 7,2013-04-30,2013-06-20,2013-D120,2013-D171,12895,12946,52,ERA5 Only,ERA5 Only,False,True,True,,grey_thick,red_thick,grey; red,,,29,28,,METEOSAT 7 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
31,GEOS (METEOSAT 7),GEOS,METEOSAT 7,Geostationary radiances,GEOS|METEOSAT 7,2013-06-21,2017-03-03,2013-D172,2017-D062,12947,14297,1351,ERA5 Only,ERA5 Only,False,True,False,,grey_thick,,grey,,,29,,,METEOSAT 7 GEOS Rad.,365_day_no_leap,day bins from pixel-derived endpoints; no leap day; ERA figure coverage clipped to 1978-D001..2019-D365
