segment_id,row_index,row_label,section,anchor_mark_visible,color,thickness,code,legend_description,source_kind,pixel_x_start,pixel_x_end_exclusive,pixel_y_center,pixel_width,pixel_height_estimate,year_start,year_end,duration_years,note,base_year,end_year_exclusive,start_abs_day,end_abs_day,start_year,start_day_of_year,start_day_label,end_year,end_day_of_year,end_day_label,duration_days,normalized_sensor,normalized_satellite,match_key,era5_active_from_color,era_interim_active_from_color,era_source_right_edge_segment,original_end_abs_day,original_end_day_label,original_end_date_365,era_interim_clipped_start_day_label,era_interim_clipped_end_day_label,extension_interval_count
1,1,GOES 16 GEOS Rad.,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and the reference system,visible_color_bar,1450,1482,59,32,13,2018.567388,2019.685524,1.118136,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,14808,15216,2018,208,2018-D208,2019,251,2019-D251,409,GEOS,GOES 16,GEOS|GOES 16,True,True,True,15216,2019-D251,2019-09-08,2018-D208,2019-D251,2
2,2,GOES 15 GEOS Rad.,Geostationary radiances,False,green,thick,green_thick,used in ERA5 but not in the reference system,visible_color_bar,1271,1377,78,106,13,2012.312812,2016.016639,3.703827,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,12525,13877,2012,115,2012-D115,2016,7,2016-D007,1353,GEOS,GOES 15,GEOS|GOES 15,True,False,False,13877,2016-D007,2016-01-07,,,0
3,2,GOES 15 GEOS Rad.,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and the reference system,visible_color_bar,1378,1480,78,102,13,2016.051581,2019.615641,3.56406,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,13889,15190,2016,19,2016-D019,2019,225,2019-D225,1302,GEOS,GOES 15,GEOS|GOES 15,True,True,False,15190,2019-D225,2019-08-13,2016-D019,2019-D225,0
4,4,GOES 13 GEOS Rad.,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and the reference system,visible_color_bar,1214,1283,117,69,13,2010.321131,2012.732113,2.410982,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,11798,12678,2010,118,2010-D118,2012,268,2012-D268,881,GEOS,GOES 13,GEOS|GOES 13,True,True,False,12678,2012-D268,2012-09-25,2010-D118,2012-D268,0
5,4,GOES 13 GEOS Rad.,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and the reference system,visible_color_bar,1286,1433,117,147,13,2012.836938,2017.973378,5.136439,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,12716,14591,2012,306,2012-D306,2017,356,2017-D356,1876,GEOS,GOES 13,GEOS|GOES 13,True,True,False,14591,2017-D356,2017-12-22,2012-D306,2017-D356,0
6,5,GOES 12 GEOS Rad.,Geostationary radiances,False,red,thick,red_thick,assimilated in the reference system but not in ERA5,visible_color_bar,1203,1213,136,10,13,2009.936772,2010.28619,0.349418,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,11657,11785,2009,342,2009-D342,2010,105,2010-D105,129,GEOS,GOES 12,GEOS|GOES 12,False,True,False,11785,2010-D105,2010-04-15,2009-D342,2010-D105,0
7,5,GOES 12 GEOS Rad.,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and the reference system,visible_color_bar,1012,1175,136,163,13,2003.262895,2008.958403,5.695507,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,9221,11300,2003,96,2003-D096,2008,350,2008-D350,2080,GEOS,GOES 12,GEOS|GOES 12,True,True,False,11300,2008-D350,2008-12-16,2003-D096,2008-D350,0
8,5,GOES 12 GEOS Rad.,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and the reference system,visible_color_bar,1178,1203,136,25,13,2009.063228,2009.936772,0.873544,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,11339,11657,2009,24,2009-D024,2009,342,2009-D342,319,GEOS,GOES 12,GEOS|GOES 12,True,True,False,11657,2009-D342,2009-12-08,2009-D024,2009-D342,0
9,6,GOES 11 GEOS Rad.,Geostationary radiances,False,red,thick,red_thick,assimilated in the reference system but not in ERA5,visible_color_bar,1152,1157,155,5,13,2008.154742,2008.329451,0.174709,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,11007,11071,2008,57,2008-D057,2008,121,2008-D121,65,GEOS,GOES 11,GEOS|GOES 11,False,True,False,11071,2008-D121,2008-05-01,2008-D057,2008-D121,0
10,6,GOES 11 GEOS Rad.,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and the reference system,visible_color_bar,1113,1151,155,38,13,2006.792013,2008.1198,1.327787,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,10510,10994,2006,290,2006-D290,2008,44,2008-D044,485,GEOS,GOES 11,GEOS|GOES 11,True,True,False,10994,2008-D044,2008-02-13,2006-D290,2008-D044,0
11,6,GOES 11 GEOS Rad.,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and the reference system,visible_color_bar,1167,1260,155,93,13,2008.678869,2011.928453,3.249584,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,11198,12384,2008,248,2008-D248,2011,339,2011-D339,1187,GEOS,GOES 11,GEOS|GOES 11,True,True,False,12384,2011-D339,2011-12-05,2008-D248,2011-D339,0
12,7,GOES 10 GEOS Rad.,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and the reference system,visible_color_bar,971,1105,174,134,13,2001.830283,2006.512479,4.682196,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,8699,10408,2001,304,2001-D304,2006,188,2006-D188,1710,GEOS,GOES 10,GEOS|GOES 10,True,True,False,10408,2006-D188,2006-07-07,2001-D304,2006-D188,0
13,8,GOES 9 GEOS Rad.,Geostationary radiances,False,green,thick,green_thick,used in ERA5 but not in the reference system,visible_color_bar,1021,1029,193,8,13,2003.577371,2003.856905,0.279534,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,9336,9438,2003,211,2003-D211,2003,313,2003-D313,103,GEOS,GOES 9,GEOS|GOES 9,True,False,False,9438,2003-D313,2003-11-09,,,0
14,8,GOES 9 GEOS Rad.,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and the reference system,visible_color_bar,1015,1021,193,6,13,2003.36772,2003.577371,0.209651,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,9260,9336,2003,135,2003-D135,2003,211,2003-D211,77,GEOS,GOES 9,GEOS|GOES 9,True,True,False,9336,2003-D211,2003-07-30,2003-D135,2003-D211,0
