Comparison_Segment_ID,Sensor_Sat,Sensor,Satellite,Section,Match_Key,Start_Date,End_Date,Start_Day_Label,End_Day_Label,Start_Abs_Day_365,End_Abs_Day_365,Duration_Days,Exact_Category,Dataset_Category,Selection_Flags,NNJA_Active,ERA5_Active,ERA_Interim_Active,NNJA_Codes,ERA5_Codes,ERA_Interim_Codes,ERA_Visible_Colors,NNJA_Source_Kinds,NNJA_Segment_IDs,ERA5_Segment_IDs,ERA_Interim_Segment_IDs,ERA_Extended_Post_2019,Beyond_ERA_Source_Edge,Derived_Replacement_Satellite,Replacement_From,Extension_Action,Validation_Basis,Validation_Source_URLs,ERA_Source_Right_Edge_Day_Label,ERA_Source_Right_Edge_Date_365,ERA_Interim_Period,NNJA_Source_Labels,ERA_Source_Labels,Calendar,Precision_Note
1,AHI (HIMAWARI 8),AHI,HIMAWARI 8,Geostationary radiances,AHI|HIMAWARI 8,2015-12-12,2019-09-08,2015-D346,2019-D251,13851,15216,1366,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,grey_thick,grey_thick,grey,,,35,35,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,Himawari 8 GEOS Rad.; Himawari 8 GEOS Rad. temporary 2025,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
2,AHI (HIMAWARI 8),AHI,HIMAWARI 8,Geostationary radiances,AHI|HIMAWARI 8,2019-09-09,2019-09-30,2019-D252,2019-D273,15217,15238,22,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,grey_thick,grey_thick,grey,,,35,35,True,True,False,,era_interim_period_cap; extend_until_primary_replacement,ERA-Interim is active only from 1979-01 through 2019-09; cap applied regardless of ERA5 extension.; JMA switched operational observation from Himawari-8 to Himawari-9 on 2022-12-13.,https://space.oscar.wmo.int/satellites/view/himawari_9; https://www-cdn.eumetsat.int/files/2023-10/5.%20Kotaro%20Bessho%2014.15.pdf,2019-D251,2019-09-08,1979-01-01..2019-09-30,,Himawari 8 GEOS Rad.; Himawari 8 GEOS Rad. temporary 2025,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
3,AHI (HIMAWARI 8),AHI,HIMAWARI 8,Geostationary radiances,AHI|HIMAWARI 8,2019-10-01,2022-12-12,2019-D274,2022-D346,15239,16406,1168,ERA5,ERA5,ERA5,False,True,False,,grey_thick,,grey,,,35,,True,True,False,,extend_until_primary_replacement,JMA switched operational observation from Himawari-8 to Himawari-9 on 2022-12-13.,https://space.oscar.wmo.int/satellites/view/himawari_9; https://www-cdn.eumetsat.int/files/2023-10/5.%20Kotaro%20Bessho%2014.15.pdf,2019-D251,2019-09-08,1979-01-01..2019-09-30,,Himawari 8 GEOS Rad.; Himawari 8 GEOS Rad. temporary 2025,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
4,AHI (HIMAWARI 8),AHI,HIMAWARI 8,Geostationary radiances,AHI|HIMAWARI 8,2025-10-12,2025-11-25,2025-D285,2025-D329,17440,17484,45,ERA5,ERA5,ERA5,False,True,False,,grey_thick,,grey,,,35,,True,True,False,,temporary_primary_return,Himawari-8 resumed observation operation from Himawari-9 on 2025-10-12 due to Himawari-9 imaging anomaly.,https://space.oscar.wmo.int/satellites/view/himawari_8; https://www.data.jma.go.jp/mscweb/en/oper/report/2025/Oct_2025.pdf,2019-D251,2019-09-08,1979-01-01..2019-09-30,,Himawari 8 GEOS Rad.; Himawari 8 GEOS Rad. temporary 2025,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
5,AHI (HIMAWARI 9),AHI,HIMAWARI 9,Geostationary radiances,AHI|HIMAWARI 9,2022-12-13,2025-10-11,2022-D347,2025-D284,16407,17439,1033,ERA5,ERA5,ERA5,False,True,False,,grey_thick,,grey,,,35,,True,True,True,HIMAWARI 8,derived_primary_replacement,Derived continuation: Himawari-9 primary service after the 2022-12-13 switchover.,https://space.oscar.wmo.int/satellites/view/himawari_9; https://www-cdn.eumetsat.int/files/2023-10/5.%20Kotaro%20Bessho%2014.15.pdf,2019-D251,2019-09-08,1979-01-01..2019-09-30,,HIMAWARI 9 GEOS Rad. derived; HIMAWARI 9 GEOS Rad. restored derived,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
6,AHI (HIMAWARI 9),AHI,HIMAWARI 9,Geostationary radiances,AHI|HIMAWARI 9,2025-11-26,2025-12-31,2025-D330,2025-D365,17485,17520,36,ERA5,ERA5,ERA5,False,True,False,,grey_thick,,grey,,,35,,True,True,True,HIMAWARI 8,derived_primary_replacement,Derived continuation: Himawari-9 resumed primary service on 2025-11-26.,https://space.oscar.wmo.int/satellites/view/himawari_9; https://www.data.jma.go.jp/mscweb/en/oper/report/2025/Oct_2025.pdf,2019-D251,2019-09-08,1979-01-01..2019-09-30,,HIMAWARI 9 GEOS Rad. derived; HIMAWARI 9 GEOS Rad. restored derived,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
7,GEOS (GOES 10),GEOS,GOES 10,Geostationary radiances,GEOS|GOES 10,2001-10-31,2006-07-07,2001-D304,2006-D188,8699,10408,1710,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,grey_thick,grey_thick,grey,,,12,12,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,GOES 10 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
8,GEOS (GOES 11),GEOS,GOES 11,Geostationary radiances,GEOS|GOES 11,2006-10-17,2008-02-13,2006-D290,2008-D044,10510,10994,485,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,grey_thick,grey_thick,grey,,,10,10,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,GOES 11 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
9,GEOS (GOES 11),GEOS,GOES 11,Geostationary radiances,GEOS|GOES 11,2008-02-26,2008-05-01,2008-D057,2008-D121,11007,11071,65,ERA-Interim,ERA-Interim,ERA-Interim,False,False,True,,,red_thick,red,,,,9,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,GOES 11 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
10,GEOS (GOES 11),GEOS,GOES 11,Geostationary radiances,GEOS|GOES 11,2008-09-05,2011-12-05,2008-D248,2011-D339,11198,12384,1187,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,grey_thick,grey_thick,grey,,,11,11,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,GOES 11 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
